Symbol,"ABORTION, HABITUAL","ABORTION, SPONTANEOUS",ACUTE CORONARY SYNDROME,ACUTE KIDNEY INJURY,ACUTE LUNG INJURY,ADENOCARCINOMA,ADENOCARCINOMA OF ESOPHAGUS,ADENOCARCINOMA OF LUNG,"ADENOCARCINOMA, FOLLICULAR",ADRENAL CORTEX NEOPLASMS,ADRENOCORTICAL CARCINOMA,ALZHEIMER DISEASE,"AORTIC ANEURYSM, ABDOMINAL","AORTIC ANEURYSM, THORACIC",AORTIC DISSECTION,"AORTIC VALVE, CALCIFICATION OF",ARTERIOSCLEROSIS OBLITERANS,"ARTHRITIS, GOUTY","ARTHRITIS, JUVENILE","ARTHRITIS, RHEUMATOID",ASTHMA,ATHEROSCLEROSIS,ATRIAL FIBRILLATION,AUTISM SPECTRUM DISORDER,BACTERIAL INFECTIONS,BEHCET SYNDROME,BETA-THALASSEMIA,BIPOLAR DISORDER,BONE NEOPLASMS,BRAIN INJURIES,"BRAIN INJURIES, TRAUMATIC",BREAST DISEASES,BREAST NEOPLASMS,BRONCHOPULMONARY DYSPLASIA,BURKITT LYMPHOMA,"CARCINOMA, BASAL CELL","CARCINOMA, DUCTAL, BREAST","CARCINOMA, ENDOMETRIOID","CARCINOMA, HEPATOCELLULAR","CARCINOMA, NON-SMALL-CELL LUNG","CARCINOMA, OVARIAN EPITHELIAL","CARCINOMA, PANCREATIC DUCTAL","CARCINOMA, RENAL CELL",CARDIOMEGALY,"CARDIOMYOPATHY, DILATED","CARDIOMYOPATHY, HYPERTROPHIC",CARDIOVASCULAR DISEASES,CAROTID ARTERY DISEASES,CATARACT,CELIAC DISEASE,CEREBRAL HEMORRHAGE,CEREBRAL INFARCTION,CHOLANGIOCARCINOMA,CHONDROSARCOMA,CHORDOMA,CHORIOCARCINOMA,"COLITIS, ULCERATIVE",COLONIC NEOPLASMS,COLORECTAL NEOPLASMS,CORNEAL NEOVASCULARIZATION,CORONARY ARTERY DISEASE,CORONARY DISEASE,COVID-19,CROHN DISEASE,CYSTITIS,DEMYELINATING DISEASES,"DEPRESSIVE DISORDER, MAJOR",DERMATOMYOSITIS,DIABETES MELLITUS,"DIABETES MELLITUS, TYPE 1","DIABETES MELLITUS, TYPE 2","DIABETES, GESTATIONAL",DIABETIC CARDIOMYOPATHIES,DIABETIC FOOT,DIABETIC NEPHROPATHIES,DIABETIC RETINOPATHY,ENDOMETRIAL NEOPLASMS,ENDOMETRIOSIS,EPENDYMOMA,EPILEPSY,"EPILEPSY, TEMPORAL LOBE",ESCHERICHIA COLI INFECTIONS,ESOPHAGEAL NEOPLASMS,ESOPHAGEAL SQUAMOUS CELL CARCINOMA,ESSENTIAL HYPERTENSION,"FATIGUE SYNDROME, CHRONIC","FATTY LIVER, ALCOHOLIC","FRACTURES, BONE",GALLBLADDER NEOPLASMS,GLAUCOMA,GLIOBLASTOMA,GLIOMA,GLIOSARCOMA,GLOMERULONEPHRITIS,"GLOMERULONEPHRITIS, IGA",GRAVES DISEASE,GROWTH HORMONE-SECRETING PITUITARY ADENOMA,HEAD AND NECK NEOPLASMS,"HEARING LOSS, NOISE-INDUCED","HEART DEFECTS, CONGENITAL",HEART FAILURE,HEART INJURIES,HEMANGIOMA,"HEPATITIS B, CHRONIC",HEPATOBLASTOMA,HODGKIN DISEASE,HUNTINGTON DISEASE,"HYPERPARATHYROIDISM, PRIMARY","HYPERTENSION, PREGNANCY-INDUCED",HYPOTHYROIDISM,IDIOPATHIC PULMONARY FIBROSIS,INFLAMMATORY BOWEL DISEASES,INTERVERTEBRAL DISC DEGENERATION,INTESTINAL NEOPLASMS,IRRITABLE BOWEL SYNDROME,ISCHEMIC STROKE,KELOID,"KIDNEY FAILURE, CHRONIC",KIDNEY NEOPLASMS,KLINEFELTER SYNDROME,LAMBERT-EATON MYASTHENIC SYNDROME,LARYNGEAL NEOPLASMS,LEIOMYOMA,LEIOMYOSARCOMA,LEUKEMIA,"LEUKEMIA, B-CELL","LEUKEMIA, LYMPHOCYTIC, CHRONIC, B-CELL","LEUKEMIA, LYMPHOID","LEUKEMIA, MYELOGENOUS, CHRONIC, BCR-ABL POSITIVE","LEUKEMIA, MYELOID","LEUKEMIA, MYELOID, ACUTE","LEUKEMIA, PROMYELOCYTIC, ACUTE",LIVER CIRRHOSIS,"LIVER CIRRHOSIS, BILIARY","LIVER DISEASES, ALCOHOLIC","LIVER FAILURE, ACUTE",LIVER NEOPLASMS,LUNG DISEASES,LUNG INJURY,LUNG NEOPLASMS,"LUPUS ERYTHEMATOSUS, DISCOID","LUPUS ERYTHEMATOSUS, SYSTEMIC","LYMPHOMA, EXTRANODAL NK-T-CELL","LYMPHOMA, LARGE B-CELL, DIFFUSE","LYMPHOMA, MANTLE-CELL","LYMPHOMA, NON-HODGKIN","LYMPHOMA, T-CELL, CUTANEOUS","LYMPHOMA, T-CELL, PERIPHERAL",MEDULLOBLASTOMA,MELANOMA,MENINGIOMA,"MENINGITIS, CRYPTOCOCCAL",MESOTHELIOMA,MOUTH NEOPLASMS,MUCOCUTANEOUS LYMPH NODE SYNDROME,MULTIPLE MYELOMA,MULTIPLE SCLEROSIS,"MUSCULAR DYSTROPHY, FACIOSCAPULOHUMERAL",MYASTHENIA GRAVIS,MYCOSIS FUNGOIDES,MYELODYSPLASTIC SYNDROMES,MYOCARDIAL INFARCTION,MYOCARDIAL REPERFUSION INJURY,MYOCARDITIS,NASOPHARYNGEAL CARCINOMA,NASOPHARYNGEAL NEOPLASMS,NEOPLASM METASTASIS,NEOPLASMS,NEPHROTIC SYNDROME,NEUROBLASTOMA,NEUROENDOCRINE TUMORS,NON-ALCOHOLIC FATTY LIVER DISEASE,OLIGODENDROGLIOMA,ORAL SUBMUCOUS FIBROSIS,OSTEOARTHRITIS,"OSTEOARTHRITIS, KNEE",OSTEONECROSIS,OSTEOPOROSIS,"OSTEOPOROSIS, POSTMENOPAUSAL",OSTEOSARCOMA,OVARIAN NEOPLASMS,PANCREATIC NEOPLASMS,PANCREATITIS,PARATHYROID NEOPLASMS,PARKINSON DISEASE,PEMPHIGUS,PEPTIC ULCER,PERIODONTITIS,PITUITARY NEOPLASMS,"PLAQUE, ATHEROSCLEROTIC",PNEUMONIA,POLYCYSTIC OVARY SYNDROME,POSTOPERATIVE NAUSEA AND VOMITING,PRE-ECLAMPSIA,PRECURSOR CELL LYMPHOBLASTIC LEUKEMIA-LYMPHOMA,PRIMARY OVARIAN INSUFFICIENCY,PROSTATIC HYPERPLASIA,PROSTATIC NEOPLASMS,PROSTATITIS,PSORIASIS,PTERYGIUM,PULMONARY ARTERIAL HYPERTENSION,"PULMONARY DISEASE, CHRONIC OBSTRUCTIVE",PULMONARY FIBROSIS,PULPITIS,"PURPURA, THROMBOCYTOPENIC, IDIOPATHIC",RECTAL NEOPLASMS,"RENAL INSUFFICIENCY, CHRONIC",REPERFUSION INJURY,RESPIRATORY DISTRESS SYNDROME,RESPIRATORY SYNCYTIAL VIRUS INFECTIONS,RETINOBLASTOMA,RETROPERITONEAL LIPOSARCOMA,RHABDOMYOSARCOMA,RHEUMATIC HEART DISEASE,"RHINITIS, ALLERGIC",ROSACEA,"SARCOMA, EWING","SARCOMA, MYELOID","SARCOMA, SYNOVIAL","SCLERODERMA, SYSTEMIC",SCLEROSIS,SEPSIS,"SHOCK, CARDIOGENIC",SILICOSIS,SJOGREN'S SYNDROME,SKIN NEOPLASMS,SLEEP APNEA SYNDROMES,"SLEEP APNEA, OBSTRUCTIVE",SMALL CELL LUNG CARCINOMA,SPINAL CORD INJURIES,"SPONDYLITIS, ANKYLOSING",SQUAMOUS CELL CARCINOMA OF HEAD AND NECK,STOMACH NEOPLASMS,"STOMATITIS, APHTHOUS","STRESS DISORDERS, POST-TRAUMATIC",STROKE,SUBARACHNOID HEMORRHAGE,TESTICULAR GERM CELL TUMOR,THYMUS NEOPLASMS,"THYROID CANCER, MEDULLARY","THYROID CANCER, PAPILLARY","THYROID CARCINOMA, ANAPLASTIC",THYROID NEOPLASMS,TONGUE NEOPLASMS,TRIPLE NEGATIVE BREAST NEOPLASMS,TUBERCULOSIS,"TUBERCULOSIS, SPINAL",URINARY BLADDER NEOPLASMS,UTERINE CERVICAL NEOPLASMS,UVEAL MELANOMA,VASCULAR DISEASES,VENOUS THROMBOSIS,VITILIGO,WILMS TUMOR,WOUNDS AND INJURIES
ABCC6P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCC6P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005592.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC007255.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC020978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC079061.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC098934,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACACA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTA2-AS1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
ACTG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTR1A-202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACVR2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
